RecordNo,PHYLO,HODGES,FAMILY,SUBFAMILY,GENUS,SPECIES,DET,COUNTRY,STATE,COUNTY,LOCATION,DATE,YEAR,QUANTITY,STAGE,REARED,LEG,EXCOLLN,DEPOSITED,PHOTOS,NOTE
65751,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Douglas,Vanzant,610,1977,3M,,,,,,,"Light trap collections. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65752,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Douglas,Vanzant,611,1977,5M,,,,,,,"Light trap collections. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65753,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Douglas,Vanzant,613,1977,4M,,,,,,,"Light trap collections. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65754,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Douglas,Vanzant,614,1977,1M,,,,,,,"Light trap collections. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65655,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Heitzman, J.R.",U.S.A.,Missouri,Franklin,Meramec State Park,605,1972,"2M,1F",,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"As ""MeremacState Park"" on JRH data card.  (Hatch)  5,7 June 1972. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65656,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Heitzman, J.R.",U.S.A.,Missouri,Franklin,Meramec State Park,604,1973,4M,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"As ""MeremacState Park"" on JRH data card. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65720,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Heitzman, J.R.",U.S.A.,Missouri,Hickory,Preston,531,1984,1M,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65648,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Heitzman, J.R.",U.S.A.,Missouri,Jackson,Independence,605,1968,,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65789,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Jackson,Burr Oak Woods Wildlife Area,819,1989,1M,,,,,"Heitzman, J. Richard",,"(UV) [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65664,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Jasper,Sarcoxie,623,1973,1F,,,"Letsinger, Rae",,"Letsinger, Rae, data card",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65665,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Jasper,Sarcoxie,609,1982,1F,,,,,"Letsinger, Rae",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65666,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Jasper,Sarcoxie,608,1982,1F,,,,,"Letsinger, Rae",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65667,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Jasper,Sarcoxie,609,1974,1M,,,,,"Letsinger, Rae",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65668,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Jasper,Sarcoxie,615,1974,1M,,,,,"Letsinger, Rae",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65669,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Jasper,Sarcoxie,605,1982,5M,,,,,"Letsinger, Rae",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
47892,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Winkler, George",U.S.A.,Missouri,Jefferson,Imperial and other locations,615,1996,1,,,"Winkler, George","Winkler, George",Milwaukee Public Museum,,Collected in many places. Set up sheets and black light on grassy areas along lightly traveled roads. Also collected at our home - hilly wooded area with subdivisions/homes added over the years.
65662,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Jefferson,Lake Wauwanoka,609,1968,1M,,,,"Littahorsky, Anton","Canadian National Collection, Ottawa",,"As ""Saint Louis Co."" on JRH data card. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65704,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Jefferson,Victoria Glades,624,1982,1M,,,,,"Balogh, George",,"As ""Victoria Glade"" on JRH data card. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65705,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Jefferson,Victoria Glades,605,1981,1M,,,,,"Balogh, George",,"As ""Victoria Glade"" on JRH data card. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65706,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Jefferson,Victoria Glades,617,1983,3M,,,,,"Balogh, George",,"As ""Victoria Glade"" on JRH data card. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65675,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Lewis,"Canton, 1 mile south of",612,1977,1M,,,,,"Dykstra, Michael",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65676,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Lewis,"Canton, 1 mile south of",524,1977,1M,,,,,"Dykstra, Michael",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65677,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Lewis,"Canton, 1 mile south of",604,1976,1M,,,,,"Dykstra, Michael",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65678,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Lewis,"Canton, 1 mile south of",523,1977,2M,,,,,"Dykstra, Michael",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65679,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Lewis,"Canton, 1 mile south of",610,1976,3M,,,,,"Dykstra, Michael",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65680,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Lewis,"Canton, 1 mile south of",527,1976,1M,,,,,"Dykstra, Michael",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65681,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Lewis,"Canton, 1 mile south of",624,1977,1F,,,,,"Dykstra, Michael",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65682,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Lewis,"Canton, 1 mile south of",519,1977,1M,,,,,"Dykstra, Michael",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65670,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Heitzman, J.R.",U.S.A.,Missouri,Montgomery,Graham Cave State Park,607,1975,5M,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65696,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Heitzman, J.R.",U.S.A.,Missouri,Morgan,Lake of the Ozarks near Stover,616,1984,"3M,1F",,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65697,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Heitzman, J.R.",U.S.A.,Missouri,Morgan,Lake of the Ozarks near Stover,608,1981,"12M,2F",,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65714,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Heitzman, J.R.",U.S.A.,Missouri,Pettis,Sedalia,617,1984,1M,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65663,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Pike,Louisiana,609,1925,1F,,,"Rowley, R.R.",,"Missouri University, Columbia, MO",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65654,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Randolph,Moberly,601,1960,3F,L,Y,"Munson, R.E.",,"Missouri University, Columbia, MO",,"Ex larvae on Quercus. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65688,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Heitzman, J.R.",U.S.A.,Missouri,Reynolds,Johnson's Shut-Ins State Park,609,1982,"17M,3F",,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65689,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Heitzman, J.R.",U.S.A.,Missouri,Reynolds,Johnson's Shut-Ins State Park,611,1981,"12M,4F",,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65690,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Heitzman, J.R.",U.S.A.,Missouri,Reynolds,Johnson's Shut-Ins State Park,618,1980,"24M,6F",,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65691,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Heitzman, J.R.",U.S.A.,Missouri,Reynolds,Johnson's Shut-Ins State Park,723,1984,4M,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
47895,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Winkler, George",U.S.A.,Missouri,Saint Charles,County,611,1993,2,,,"Winkler, George","Winkler, George",Milwaukee Public Museum,,Busch Wildlife Area & other places.  Collected in many places in rural areas where subdivisions are now present. Hilly and wooded but have been cleared for homes. Collected around lighted commercial signs.
47897,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Winkler, George",U.S.A.,Missouri,Saint Charles,County,703,1993,1,,,"Winkler, George","Winkler, George",Milwaukee Public Museum,,Busch Wildlife Area & other places.  Collected in many places in rural areas where subdivisions are now present. Hilly and wooded but have been cleared for homes. Collected around lighted commercial signs.
65790,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Saint Charles,Foristell,414,1989,1M,,,"Ely, Charles",,,,"As ""Florestell, St. Charles Co."" on JRH data card. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
19602,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Thoma, Richard S.",U.S.A.,Missouri,Saint Francois,Saint Francois State Park,516,1992,1,L,,,,"Thoma, Richard S. pinned",,"RST CD to PEK dated 2/28/03.  Spec. 3374.  pupated May 21, 1992, emerged June 3, 1992.  Carya ovata leaf.  rolled in the leaf as a pupae. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65671,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Heitzman, J.R.",U.S.A.,Missouri,Saint Genevieve,Hawn State Park,604,1977,"4M,1F",,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65672,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Heitzman, J.R.",U.S.A.,Missouri,Saint Genevieve,Hawn State Park,530,1977,5M,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65673,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Saint Genevieve,Hawn State Park,610,1983,2M,,,,,"Balogh, George",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65674,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Saint Genevieve,Hawn State Park,624,1983,1M,,,,,"Balogh, George",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
47896,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Winkler, George",U.S.A.,Missouri,Saint Louis,County,611,1995,1,,,"Winkler, George","Winkler, George",Milwaukee Public Museum,,"Olivette, MO and other places in St. Louis County.  Collected in many places including my yard in suburban area. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65649,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Heitzman, J.R.",U.S.A.,Missouri,Saint Louis,Six Flags over Mid America,602,1972,,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"As ""Six Flags"" on JRH data card. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65650,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Saint Louis,Rockwoods Reservation,604,1942,1F,,,"O'Byrne, H.I.",,"Missouri University, Columbia, MO",,"As ""Rockwoods Reserve"" on JRH data card. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65651,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Saint Louis,Valley Park,608,1924,1M,,,"Meiners, E.P.",,"Missouri University, Columbia, MO",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65652,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Saint Louis,Valley Park,620,1926,2F,,,"Meiners, E.P.",,"Missouri University, Columbia, MO",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65653,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Saint Louis,Creve Coeur Lake,6,1924,1M,,,"O'Byrne, H.I.",,"Missouri University, Columbia, MO",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65659,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Saint Louis,Saint Louis,521,1903,1M,,,"Heink, C.L.",,"Missouri University, Columbia, MO",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65660,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Saint Louis,Saint Louis,604,1921,1F,,,"Meiners, E.P.",,"Missouri University, Columbia, MO",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65661,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Heitzman, J.R.",U.S.A.,Missouri,Saint Louis,Babler State Park,606,1973,2M,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65699,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Saint Louis,Greensfelder County Park,528,1981,2M,,,,,"Balogh, George",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65700,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Saint Louis,Greensfelder County Park,603,1981,1M,,,,,"Balogh, George",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65701,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Saint Louis,Greensfelder County Park,531,1982,1M,P,Y,,,"Balogh, George",,"1 pupa found on Spicebush 31 May 1982.  Emgd. 6 June 1982. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65702,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Saint Louis,Greensfelder County Park,531,1982,1F,P,Y,,,"Balogh, George",,"1 pupa found in rolled up oak leaf 31 May 1982.  Emgd. 1 June 1982. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65724,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Heitzman, J.R.",U.S.A.,Missouri,Shannon,Winona,606,1984,2M,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65634,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Murtfeldt, Mary E.",U.S.A.,Missouri,State,State,,1882,,,,,,,,"Trans.Amer.Ent.Soc.10:21,1882. Oak, hickory, rose. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
47893,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Winkler, George",U.S.A.,Missouri,Stoddard,Mingo National Wildlife Refuge,509,2001,1,,,"Winkler, George","Winkler, George",Milwaukee Public Museum,,"Wooded, hilly areas and swampland. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65710,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Heitzman, J.R.",U.S.A.,Missouri,Stoddard,Holly Ridge Wildlife Area,609,1982,"17M,3F",,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65715,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Heitzman, J.R.",U.S.A.,Missouri,Stoddard,Otter Slough Wildlife Area,601,1984,4M,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65723,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Heitzman, J.R.",U.S.A.,Missouri,Texas,Cabool,609,1984,"1M,1F",,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
47898,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Winkler, George",U.S.A.,Missouri,Warren,"Warrenton, 10 miles S of",615,1990,2,,,"Winkler, George","Winkler, George",Milwaukee Public Museum,,"Hilly and wooded. Very little grassland. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65657,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Heitzman, J.R.",U.S.A.,Missouri,Washington,Washington State Park,606,1972,"2M,1F",,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"(Hatch) [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65658,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Heitzman, J.R.",U.S.A.,Missouri,Washington,Washington State Park,605,1973,5M,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"5,7 June 1973. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65703,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Heitzman, J.R.",U.S.A.,Arkansas,Washington,Blue Springs Campground,527,1972,1M,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
47894,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Winkler, George",U.S.A.,Missouri,Wayne,Mingo National Wildlife Refuge,509,2002,1,,,"Winkler, George","Winkler, George",Milwaukee Public Museum,,"Wooded, hilly areas and swampland [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65716,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Heitzman, J.R.",U.S.A.,Missouri,Wayne,Markham Springs Recreation Area,602,1986,"7M,1F",,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"As ""Markham Springs Cmpg."" on JRH data card. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65717,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Heitzman, J.R.",U.S.A.,Missouri,Wayne,Markham Springs Recreation Area,525,1986,"6M,1F",,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"As ""Markham Springs Cmpg."" on JRH data card. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65718,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Heitzman, J.R.",U.S.A.,Missouri,Wayne,Markham Springs Recreation Area,607,1984,3M,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"As ""Markham Springs Cmpg."" on JRH data card. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65719,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Wayne,"Piedmont, 8 miles east of",526,1986,1M,,,,,"Webber, Hiltrud M.",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65725,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Heitzman, J.R.",U.S.A.,Missouri,Wayne,Sam A. Baker State Park,602,1986,"12M,2F",,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65726,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Wayne,"Piedmont, 8 miles east of",531,1986,"2M,2F",,,,,"Webber, Hiltrud M.",,"[Two records on JRH data card combined here. One has 2M,1F and the other has 1F. PEK] [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65727,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Wayne,"Piedmont, 8 miles east of",613,1986,2M,,,,,"Webber, Hiltrud M.",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65728,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Wayne,"Piedmont, 8 miles east of",601,1986,1M,,,,,"Webber, Hiltrud M.",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65729,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Wayne,"Piedmont, 8 miles east of",524,1986,2M,,,,,"Webber, Hiltrud M.",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65730,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Wayne,"Piedmont, 8 miles east of",526,1986,"4M,1F",,,,,"Webber, Hiltrud M.",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65791,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Wayne,Markham Springs Recreation Area,618,1988,1F,,,,,"Heitzman, J. Richard",,"As ""Markham Springs N.F.Campground."" on JRH data card. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65792,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Wayne,Markham Springs Recreation Area,527,1987,2M,,,,,"Heitzman, J. Richard",,"As ""Markham Springs N.F.Campground."" on JRH data card. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65793,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Wayne,Markham Springs Recreation Area,617,1988,"2M,1F",,,,,"Heitzman, J. Richard",,"As ""Markham Springs N.F.Campground."" on JRH data card. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65794,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Wayne,"Patterson, 2.5 miles SW of",529,1987,4M,,,,,"Heitzman, J. Richard",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65795,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Wayne,"Patterson, 2.5 miles SW of",616,1988,"21M,7F",,,,,"Heitzman, J. Richard",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65796,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Wayne,Sam A. Baker State Park,526,1987,"36M,3F",,,,,"Heitzman, J. Richard",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65722,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Heitzman, J.R.",U.S.A.,Missouri,Wright,Mountain Grove,606,1984,2M,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65797,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Wright,Mountain Grove,601,1984,1M,L,Y,"Townsend, H.G.",,"Southwest Missouri State U., Ex. St.",,"Ex larva on English walnut. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
